Review,Language,Sentiment,KeyPhrases,Entities,LinkedEntities
"Another Midrange killer Smartphone by Xiaomi

Major Highlights:
 The Redmi 6 Pro sports a 5.84-inch full-HD+ display with a notch
 Powered by the Qualcomm Snapdragon 625 SoC
 The phone is priced at Rs. 10,999 for the 3GB RAM variant (Start Point)
 Battery of 4000 mAh and its Durability
 The Tripple Slots
 Dual AI Camera

Well in Redmi 6 Series you will get 3 Different Smartphones with different specs, and from all of them, Redmi 6 pro is most powerful and advanced (as said by Redmi India in their launch event).

Xiaomi Redmi 6 Pro design:
Being the most premium phone of the new Redmi 6 family, the Redmi 6 Pro has been given somewhat better materials, in the form of a metal backplate. However, the overall design isnt too different from what weve already seen from Xiaomi at around this price point. This is a fairly thick phone, and it's a bit hefty too, but its manageable. The buttons have good feedback without being noisy, and on the left side, you get a single tray which can hold two SIM cards and a separate microSD card. Something worth noting is that the Redmi 6 Pro does not support dual 4G VoLTE, which means that only one SIM can connect to a 4G network at a time, The placement of ports is good. The mono speaker is on the bottom right, so chances of blocking it when using the phone in landscape mode are slim. The headphone socket is placed on the top, and you also get an infrared (IR) emitter which can be used to control IR appliances through the Mi Remote app.

Xiaomi Redmi 6 Pro specifications and software:
The phone uses Qualcomms Snapdragon 625 SoC, which is a couple of years old now but is still a capable chip for general tasks. Gaming performance isnt great, as some popular games like PUBG, and asphalt default to the lowest graphics settings, and even then, gameplay isnt smooth. Our unit was running on a pre-release version of its MIUI software, which prevented us from running most benchmarks.

Storage Options:
Well I am impressed with the Xiaomi as they provided triple Slot in sim tray (2 for nano sim & one for SD card)

Heating Issues:
Well, I do not find any heating issues in this phone while playing games like PubG and Asphalt.

Camera in Redmi 6 pro:
The rear 12-megapixel camera has a f/2.2 aperture with PDAF. Autofocus was decently quick in good light. Theres auto-HDR, which did a good job of balancing the exposure in our experience. We observed good detail in landscape shots in daylight, and colours were pleasing too. The main sensor stumbled a bit with macros, as it simply wasn't able to resolve finer detail. The white balance was a bit of a hit or a miss in close-ups, and we often found ourselves having to tap-to-focus to get the white balance back on track. Saving HDR images takes a good couple of seconds in daylight. I would be very happy if they have provided the Flash in Portrait Mode, still, you can Tap on Torch icon to switch, on the torch, you will get the flash in Portrait Mode.

Battery in Redmi 6 Pro:
Battery life is one of the strong suits of the Redmi 6 Pro. The 4000mAh battery easily lasted us a full day and a bit more on one charge. Playing heavy games didn't drain the battery too much either. In a single round of PUBG (around 30 minutes), in which we survived till the very end, we recorded a drop of around seven percent, which is not bad. In our internal video loop test, we got a runtime of 16 hours and 45 minutes, which is very good. The Redmi 6 Pro doesnt support fast charging, but the bundled 10W adapter gave us roughly a 55 percent charge in an hour, and it took us roughly 2 hours and 35 minutes to charge it completely from zero
Well before buying this phone I have heard many issues regarding inbuilt Advertisement in Xiaomi devices, and I checked that too in my previous Xiaomi phone which I am using since 2 Years. And actually, I found inbuilt ads in those phones. You will see ads in inbuilt developers apps like MI Apps, Mi Music, Mi Videos, Security, File Manager, Themes, sometimes you will see full-screen ads which are really irritating for Mi Fans, but there is a cooler way to stop those ads those who wanted to know contact me.

Final Verdict:
Well for the people who want a notch Display, Big Battery and Descent Camera you they can buy this phone blindly.
Suggestion for Xiaomi India: You should stop those inbuilt Ads present in your devices because we customers dont find those ads Valuable. Because we are not Surfing any website where many ads are present. So please stop it.

Note: Pics Included in this Review are captured by Redmi Note 3",English,mixed,"['internal video loop test', 'Xiaomi Redmi 6 Pro specifications', 'Xiaomi Redmi 6 Pro design', 'Midrange killer Smartphone', '3GB RAM variant', 'The Tripple Slots', 'lowest graphics settings', '5.84-inch full-HD+ display', 'separate microSD card', 'dual 4G VoLTE', 'infrared (IR) emitter', 'inbuilt developers apps', 'new Redmi 6 family', 'Dual AI Camera', 'two SIM cards', 'rear 12-megapixel camera', 'Mi Remote app', 'The Redmi 6 Pro', 'Qualcomm Snapdragon 625 SoC', 'previous Xiaomi phone', 'overall design', 'MI Apps', '4G network', 'IR appliances', 'Redmi 6 Series', 'Redmi India', 'one SIM', 'sim tray', 'nano sim', 'Descent Camera', 'Xiaomi India', 'Mi Music', 'Mi Videos', 'Mi Fans', 'Major Highlights', 'Start Point', '3 Different Smartphones', 'different specs', 'launch event', 'metal backplate', 'price point', 'good feedback', 'left side', 'single tray', 'mono speaker', 'bottom right', 'landscape mode', 'headphone socket', 'capable chip', 'general tasks', 'Gaming performance', 'pre-release version', 'most benchmarks', 'Storage Options', 'triple Slot', 'Heating Issues', 'f/2.2 aperture', 'good light', 'good job', 'good detail', 'landscape shots', 'main sensor', 'finer detail', 'white balance', 'HDR images', 'good couple', 'Portrait Mode', 'strong suits', 'one charge', 'single round', 'seven percent', 'fast charging', '10W adapter', '55 percent charge', 'many issues', 'File Manager', 'cooler way', 'Final Verdict', 'notch Display', 'Redmi Note', 'Xiaomi devices', 'popular games', 'heavy games', 'MIUI software', 'Torch icon', 'Battery life', '4000mAh battery', 'Big Battery', 'premium phone', 'thick phone', 'full-screen ads', 'many ads', 'Another', '4000 mAh', 'Durability', 'materials', 'buttons', 'time', 'placement', 'ports', 'chances', 'top', 'PUBG', 'asphalt', 'gameplay', 'unit', 'PDAF', 'Autofocus', 'auto-HDR', 'exposure', 'experience', 'daylight', 'colours', 'macros', 'bit', 'miss', 'close-ups', 'track', 'seconds', 'Flash', '30 minutes', 'end', 'drop', '16 hours', '45 minutes', '2 hours', '35 minutes', 'Advertisement', '2 Years', 'Security', 'Themes', 'people', 'Suggestion', 'customers', 'website', 'Pics', 'Review']","[('Smartphone', 'Product'), ('Xiaomi', 'Organization'), ('Redmi 6 Pro', 'Product'), ('5.84-inch', 'Quantity'), ('full-HD+ display', 'Product'), ('Qualcomm', 'Organization'), ('Snapdragon 625 SoC', 'Product'), ('phone', 'Product'), ('Rs. 10,999', 'Quantity'), ('3GB', 'Quantity'), ('Battery', 'Product'), ('4000 mAh', 'Quantity'), ('Tripple Slots', 'Location'), ('Dual AI Camera', 'Product'), ('Redmi 6 Series', 'Product'), ('3', 'Quantity'), ('Smartphones', 'Product'), ('Redmi 6 pro', 'Product'), ('Redmi India', 'Organization'), ('launch event', 'Event'), ('Xiaomi Redmi 6 Pro', 'Product'), ('phone', 'Product'), ('Redmi 6', 'Product'), ('Redmi 6 Pro', 'Product'), ('design', 'Skill'), ('Xiaomi', 'Organization'), ('phone', 'Product'), ('tray', 'Product'), ('two', 'Quantity'), ('SIM cards', 'Product'), ('microSD card', 'Product'), ('Redmi 6 Pro', 'Product'), ('4G', 'Quantity'), ('one', 'Quantity'), ('4G', 'Quantity'), ('placement', 'Skill'), ('mono speaker', 'Product'), ('phone', 'Product'), ('headphone socket', 'Product'), ('infrared (IR) emitter', 'Product'), ('IR appliances', 'Product'), ('Mi', 'Product'), ('Xiaomi Redmi 6 Pro', 'Product'), ('software', 'Skill'), ('phone', 'Product'), ('Qualcomm', 'Organization'), ('Snapdragon 625 SoC', 'Product'), ('couple of years old', 'Quantity'), ('now', 'DateTime'), ('chip', 'Product'), ('games', 'Product'), ('PUBG', 'Product'), ('asphalt', 'Product'), ('graphics', 'Skill'), ('MIUI', 'Product'), ('Storage', 'Skill'), ('Xiaomi', 'Product'), ('2', 'Quantity'), ('nano sim', 'Product'), ('one', 'Quantity'), ('SD card', 'Product'), ('Heating', 'Skill'), ('phone', 'Product'), ('Camera', 'Product'), ('Redmi 6 pro', 'Product'), ('12-megapixel', 'Quantity'), ('camera', 'Product'), ('2.2', 'Quantity'), ('Autofocus', 'Product'), ('auto-HDR', 'Product'), ('daylight', 'DateTime'), ('sensor', 'Skill'), ('macros', 'Skill'), ('close-ups', 'Event'), ('couple of seconds', 'DateTime'), ('torch', 'Product'), ('Battery', 'Product'), ('Redmi 6 Pro', 'Product'), ('one', 'Quantity'), ('Redmi 6 Pro', 'Product'), ('4000mAh battery', 'Product'), ('full day', 'DateTime'), ('one', 'Quantity'), ('battery', 'Product'), ('PUBG', 'Product'), ('30 minutes', 'DateTime'), ('seven percent', 'Quantity'), ('video', 'Skill'), ('16 hours and 45 minutes', 'DateTime'), ('Redmi 6 Pro', 'Product'), ('charging', 'Skill'), ('10W adapter', 'Product'), ('55 percent', 'Quantity'), ('in an hour', 'DateTime'), ('2 hours and 35 minutes', 'DateTime'), ('zero', 'Quantity'), ('phone', 'Product'), ('Xiaomi', 'Organization'), ('devices', 'Product'), ('Xiaomi', 'Organization'), ('phone', 'Product'), ('since 2 Years', 'DateTime'), ('phones', 'Product'), ('MI', 'Product'), ('Mi Music', 'Product'), ('Mi', 'PersonType'), ('Fans', 'PersonType'), ('Camera', 'Product'), ('phone', 'Product'), ('Xiaomi India', 'Organization'), ('devices', 'Product'), ('customers', 'PersonType'), ('website', 'Skill'), ('Redmi Note 3', 'Product')]","[('Mid-range', 'https://en.wikipedia.org/wiki/Mid-range'), ('Smartphone', 'https://en.wikipedia.org/wiki/Smartphone'), ('Xiaomi', 'https://en.wikipedia.org/wiki/Xiaomi'), ('Major (manga)', 'https://en.wikipedia.org/wiki/Major_(manga)'), ('The New York Times', 'https://en.wikipedia.org/wiki/The_New_York_Times'), ('Redmi', 'https://en.wikipedia.org/wiki/Redmi'), ('1080p', 'https://en.wikipedia.org/wiki/1080p'), ('Qualcomm Snapdragon', 'https://en.wikipedia.org/wiki/Qualcomm_Snapdragon'), ('System on a chip', 'https://en.wikipedia.org/wiki/System_on_a_chip'), ('Rupee', 'https://en.wikipedia.org/wiki/Rupee'), ('Random-access memory', 'https://en.wikipedia.org/wiki/Random-access_memory'), ('Electric battery', 'https://en.wikipedia.org/wiki/Electric_battery'), ('Ampere hour', 'https://en.wikipedia.org/wiki/Ampere_hour'), ('Durability', 'https://en.wikipedia.org/wiki/Durability'), ('Artificial intelligence in video games', 'https://en.wikipedia.org/wiki/Artificial_intelligence_in_video_games'), ('Camera phone', 'https://en.wikipedia.org/wiki/Camera_phone'), ('India', 'https://en.wikipedia.org/wiki/India'), ('Pro-Design', 'https://en.wikipedia.org/wiki/Pro-Design'), ('Prostitution', 'https://en.wikipedia.org/wiki/Prostitution'), ('SIM card', 'https://en.wikipedia.org/wiki/SIM_card'), ('SD card', 'https://en.wikipedia.org/wiki/SD_card'), ('LTE (telecommunication)', 'https://en.wikipedia.org/wiki/LTE_(telecommunication)'), ('Voice over LTE', 'https://en.wikipedia.org/wiki/Voice_over_LTE'), ('Infrared', 'https://en.wikipedia.org/wiki/Infrared'), ('Remote control', 'https://en.wikipedia.org/wiki/Remote_control'), ('Video game', 'https://en.wikipedia.org/wiki/Video_game'), (""PlayerUnknown's Battlegrounds"", ""https://en.wikipedia.org/wiki/PlayerUnknown's_Battlegrounds""), ('MIUI', 'https://en.wikipedia.org/wiki/MIUI'), ('I Am... (Ayumi Hamasaki album)', 'https://en.wikipedia.org/wiki/I_Am..._(Ayumi_Hamasaki_album)'), ('Slot machine', 'https://en.wikipedia.org/wiki/Slot_machine'), ('Central heating', 'https://en.wikipedia.org/wiki/Central_heating'), ('Issues (Korn album)', 'https://en.wikipedia.org/wiki/Issues_(Korn_album)'), ('Asphalt (series)', 'https://en.wikipedia.org/wiki/Asphalt_(series)'), ('Autofocus', 'https://en.wikipedia.org/wiki/Autofocus'), ('High-dynamic-range imaging', 'https://en.wikipedia.org/wiki/High-dynamic-range_imaging'), ('Flash memory', 'https://en.wikipedia.org/wiki/Flash_memory'), ('Bokeh', 'https://en.wikipedia.org/wiki/Bokeh'), ('Tap dance', 'https://en.wikipedia.org/wiki/Tap_dance'), ('Flashlight', 'https://en.wikipedia.org/wiki/Flashlight'), ('Advertising', 'https://en.wikipedia.org/wiki/Advertising'), ('Xiaomi Mi 1', 'https://en.wikipedia.org/wiki/Xiaomi_Mi_1'), ('Mobile app', 'https://en.wikipedia.org/wiki/Mobile_app'), ('Computer security', 'https://en.wikipedia.org/wiki/Computer_security'), ('File manager', 'https://en.wikipedia.org/wiki/File_manager'), ('Theme (computing)', 'https://en.wikipedia.org/wiki/Theme_(computing)'), ('Fan (person)', 'https://en.wikipedia.org/wiki/Fan_(person)'), ('Final Verdict', 'https://en.wikipedia.org/wiki/Final_Verdict'), ('Liquid-crystal display', 'https://en.wikipedia.org/wiki/Liquid-crystal_display'), ('Big (film)', 'https://en.wikipedia.org/wiki/Big_(film)'), ('Descent (1995 video game)', 'https://en.wikipedia.org/wiki/Descent_(1995_video_game)'), ('Suggestion', 'https://en.wikipedia.org/wiki/Suggestion'), ('You (Koda Kumi song)', 'https://en.wikipedia.org/wiki/You_(Koda_Kumi_song)'), ('Review', 'https://en.wikipedia.org/wiki/Review'), ('Redmi Note 3', 'https://en.wikipedia.org/wiki/Redmi_Note_3')]"
All ok but vry small size mobile,English,neutral,['small size mobile'],"[('mobile', 'Product')]","[('All Ok', 'https://en.wikipedia.org/wiki/All_Ok')]"
Quite good,English,positive,[],[],[]
"Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It's a beautifully designed,strong and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4000mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You don't need third security apps.And the phone do charge little faster on it's stock adapter.Atleast 2hrs and 45mins.As it's a Qualcomm Chipset.

Verdict: The Base model is actually the Value for money deal. 3/32 GB.
I have been using the Redmi 6 pro for 3 weeks now. This is totally tested.",English,mixed,"['inbuild Mi sercurity', 'third security apps', 'The Base model', 'The Battery', 'budget segment', 'Note 5 pro', 'good shape', 'Sound quality', 'headset experience', 'heavy useage', 'normal useage', 'best thing', 'stock adapter', 'Qualcomm Chipset', 'money deal', '3/32 GB', 'Redmi 6 pro', 'king', 'camera', 'Display', 'notch', 'screen', '2 day', 'half', '3 days', 'features', 'phone', '2hrs', '45mins', 'Verdict', 'Value', '3 weeks']","[('Redmi', 'Product'), ('Redmi 6', 'Product'), ('pro.It', 'URL'), ('camera', 'Product'), ('Note 5 pro', 'Product'), ('Display', 'Product'), ('headset', 'Skill'), ('Battery', 'Product'), ('4000mah', 'Quantity'), ('optimized.In', 'URL'), ('2 day', 'DateTime'), ('a half', 'Quantity'), ('3 days', 'DateTime'), ('Mi sercurity', 'Product'), ('third', 'Quantity'), ('security apps', 'Skill'), ('phone', 'Product'), ('stock adapter', 'Product'), ('2hrs and 45mins', 'DateTime'), ('45mins.As', 'URL'), ('Qualcomm', 'Organization'), ('Chipset', 'Product'), ('3/32', 'Quantity'), ('32 GB', 'Quantity'), ('Redmi 6 pro', 'Product'), ('3 weeks', 'DateTime'), ('now', 'DateTime')]","[('Redmi', 'https://en.wikipedia.org/wiki/Redmi'), ('Samsung Galaxy Note 5', 'https://en.wikipedia.org/wiki/Samsung_Galaxy_Note_5'), ('Display device', 'https://en.wikipedia.org/wiki/Display_device'), ('Sound quality', 'https://en.wikipedia.org/wiki/Sound_quality'), ('The Battery (Manhattan)', 'https://en.wikipedia.org/wiki/The_Battery_(Manhattan)'), ('Xiaomi', 'https://en.wikipedia.org/wiki/Xiaomi'), ('Qualcomm', 'https://en.wikipedia.org/wiki/Qualcomm'), ('Chipset', 'https://en.wikipedia.org/wiki/Chipset'), ('Verdict', 'https://en.wikipedia.org/wiki/Verdict'), ('Value for Money', 'https://en.wikipedia.org/wiki/Value_for_Money'), ('Gigabit Ethernet', 'https://en.wikipedia.org/wiki/Gigabit_Ethernet')]"
worst product from MI. I am a hardcore fan of MI. But this one really disappointing.,English,negative,"['worst product', 'hardcore fan', 'MI']","[('MI', 'Location'), ('fan', 'PersonType'), ('MI', 'Location')]","[('Mii', 'https://en.wikipedia.org/wiki/Mii'), ('I Am (Elisa Fiorillo album)', 'https://en.wikipedia.org/wiki/I_Am_(Elisa_Fiorillo_album)')]"
"Over prised by at least around Rs.1000/- Low light photos are bad. Only one SIM support VOLTE.
Good things are best sound, good display, smooth touch, excellent battery life management, compact, nice photos and videos under good light. It never gets over heated while using or charging. I don't play games. I like MIUI. I have already Redmi 4 A (Rs.6000/-only) using for more than 14 months working superbly. I have good opinion about Redmi mobiles.",English,mixed,"['excellent battery life management', 'one SIM support', 'compact, nice photos', 'Low light photos', 'good light', 'Good things', 'best sound', 'good display', 'smooth touch', 'Redmi 4 A', 'good opinion', 'Redmi mobiles', 'Rs.1000', 'VOLTE', 'videos', 'games', 'MIUI', '14 months']","[('Rs.1000/-', 'Quantity'), ('one', 'Quantity'), ('SIM', 'Product'), ('support', 'Skill'), ('VOLTE', 'Skill'), ('battery life management', 'Skill'), ('charging', 'Skill'), ('games', 'Product'), ('MIUI', 'Product'), ('Redmi 4 A', 'Product'), ('Rs.6000', 'Quantity'), ('more than 14 months', 'DateTime'), ('Redmi mobiles', 'Product')]","[('Indian rupee', 'https://en.wikipedia.org/wiki/Indian_rupee'), ('SIM card', 'https://en.wikipedia.org/wiki/SIM_card'), ('Voice over LTE', 'https://en.wikipedia.org/wiki/Voice_over_LTE'), ('MIUI', 'https://en.wikipedia.org/wiki/MIUI'), ('Redmi', 'https://en.wikipedia.org/wiki/Redmi')]"
"Pros:
notch display
Dual camera
Face unlock
4000 mah battery
Cons:
Some of the apps donot work in full screen mode.
No Front flash

Great product to purchase finally and its value for money.I got this phone for 10,500 and thanks to Xiaomi.",English,mixed,"['full screen mode', 'notch display', 'Dual camera', '4000 mah battery', 'Front flash', 'Great product', 'Pros', 'Face', 'Cons', 'apps', 'value', 'money', 'phone', 'Xiaomi']","[('notch display', 'Product'), ('Dual', 'Product'), ('camera', 'Product'), ('4000 mah battery', 'Quantity'), ('flash', 'Product'), ('product', 'Product'), ('phone', 'Product'), ('10,500', 'Quantity'), ('Xiaomi', 'Organization')]","[('Stereo camera', 'https://en.wikipedia.org/wiki/Stereo_camera'), ('Cons', 'https://en.wikipedia.org/wiki/Cons'), ('Front vowel', 'https://en.wikipedia.org/wiki/Front_vowel'), ('Great (1975 film)', 'https://en.wikipedia.org/wiki/Great_(1975_film)'), ('Xiaomi', 'https://en.wikipedia.org/wiki/Xiaomi')]"
Front camera is poor rest things are good,English,negative,"['poor rest things', 'Front camera']","[('Front camera', 'Product')]","[('Front organization', 'https://en.wikipedia.org/wiki/Front_organization')]"
Wooo,English,positive,['Wooo'],[],[]
"Realme is sub brand of oppo
He give money to all techi youtubers including big ones and tell him to promote more realme
But MI 6 Pro is much better than real me
Don't worry mi have given value for money as always",English,positive,"['sub brand', 'techi youtubers', 'MI 6 Pro', 'Realme', 'oppo', 'money', 'big', 'value']","[('Realme', 'Organization'), ('youtubers', 'PersonType'), ('6', 'Quantity')]","[('Realme', 'https://en.wikipedia.org/wiki/Realme'), ('Secret Intelligence Service', 'https://en.wikipedia.org/wiki/Secret_Intelligence_Service'), ('.pro', 'https://en.wikipedia.org/wiki/.pro')]"
awesome product at this range,English,positive,"['awesome product', 'range']","[('product', 'Product')]",[]
"Very nice looks , smooth operation , camera could have been better",English,positive,"['nice looks', 'smooth operation', 'camera']","[('camera', 'Product')]",[]
Like every things but fullscreen video playing option is not available in default player...,English,negative,"['fullscreen video playing option', 'default player', 'things']",[],[]
"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",English,negative,"['mobile data', 'same things', 'cheap quality', 'original handset', 'product', '3-mobile', 'MI', 'type', 'issue', 'wifi', 'hot-spot', 'bluetooth', 'duplicate', 'copy']","[('product', 'Product'), ('3', 'Quantity'), ('MI', 'Location'), ('mobile data', 'Skill'), ('wifi', 'Product'), ('hot-spot', 'Product'), ('bluetooth', 'Product'), ('handset', 'Product'), ('handset', 'Product')]",[]
"Thanks alot Amazon,ecom & seller.perfect product no compromise in quality, good battery backup.smooth working no hanging problem.no heating issue.according to note 5 dual camera working properly.product packing is perfect again thanks alot Amazon, seller,ecom &&&&MI.",English,positive,"['good battery backup', 'perfect product', 'hanging problem', 'heating issue', '5 dual camera', 'product packing', 'Amazon', 'seller', 'compromise', 'quality']","[('Amazon', 'Organization'), ('battery', 'Product'), ('problem.no', 'URL'), ('5', 'Quantity'), ('dual camera', 'Product'), ('Amazon', 'Organization')]","[('Amazon (company)', 'https://en.wikipedia.org/wiki/Amazon_(company)'), ('Mii', 'https://en.wikipedia.org/wiki/Mii')]"
"No company can provide u these features
Pros:
AWESOME display
Great video stablisation
Great battery
Great performance
Looks beatifull

Cons:
Okk front camera( not very bad considering price)",English,mixed,"['Okk front camera', 'Great video stablisation', 'Great battery', 'Great performance', 'features Pros', 'AWESOME display', 'company', 'Cons', 'bad', 'price']","[('u', 'Skill'), ('video stablisation', 'Skill'), ('battery', 'Product'), ('performance', 'Event'), ('front camera', 'Product')]","[('GReAT', 'https://en.wikipedia.org/wiki/GReAT'), ('Cons', 'https://en.wikipedia.org/wiki/Cons')]"
The product is great with quite good features. I am great fan of xiaomi and I have been always using Xiaomi phones. But I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phones have same design. Xiaomi always being giving with so many features but being realme entering in market Xiaomi has to be more creative to attract more indian customers.,English,mixed,"['mid range phones', 'lower range', 'good features', 'great fan', 'mobile designing', 'same design', 'many features', 'indian customers', 'Xiaomi phones', 'product', 'market']","[('product', 'Product'), ('fan', 'PersonType'), ('xiaomi', 'Organization'), ('Xiaomi phones', 'Product'), ('Xiaomi', 'Organization'), ('phones', 'Product'), ('Xiaomi', 'Organization'), ('Xiaomi', 'Organization'), ('indian', 'PersonType'), ('customers', 'PersonType')]","[('I Am (2010 Indian film)', 'https://en.wikipedia.org/wiki/I_Am_(2010_Indian_film)'), ('Xiaomi', 'https://en.wikipedia.org/wiki/Xiaomi'), ('India', 'https://en.wikipedia.org/wiki/India')]"
Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect,English,negative,"['Camera clarity', 'average mobile']","[('Camera', 'Product'), ('first', 'Quantity'), ('mi mobile', 'Product')]","[('Camera', 'https://en.wikipedia.org/wiki/Camera')]"
"Superb job by Xiaomi
Handy phone. Not huge size not slippery.
Better battery display processing speed. Overall its the best phone.",English,positive,"['Better battery display processing speed', 'Superb job', 'Handy phone', 'huge size', 'best phone', 'Xiaomi']","[('Xiaomi', 'Organization'), ('Handy phone', 'Product'), ('battery', 'Product'), ('phone', 'Product')]","[('Xiaomi', 'https://en.wikipedia.org/wiki/Xiaomi')]"
"Good phone at such a valuable price. Notch display.
Value for money",English,positive,"['Good phone', 'valuable price', 'Notch display', 'Value', 'money']","[('phone', 'Product'), ('Notch display', 'Product')]","[('Value for Money', 'https://en.wikipedia.org/wiki/Value_for_Money')]"
Good phone,English,positive,['Good phone'],"[('phone', 'Product')]",[]
"Great product, fully met my expectations....",English,positive,"['Great product', 'expectations']","[('product', 'Product')]","[('GReAT', 'https://en.wikipedia.org/wiki/GReAT')]"
Good,English,positive,['Good'],[],[]
Do not buy.,English,negative,[],[],[]
No dual 4g if you think new mobile you buy realme 1,English,neutral,"['new mobile', '4g', 'realme']","[('mobile', 'Skill'), ('1', 'Quantity')]",[]
very good phone of this budget......red colour very beautiful,English,positive,"['good phone', 'red colour', 'budget']","[('phone', 'Product')]",[]
Nice product. Delivery guy also.,English,positive,"['Nice product', 'Delivery guy']","[('product', 'Product'), ('Delivery guy', 'PersonType')]","[('Delivery (commerce)', 'https://en.wikipedia.org/wiki/Delivery_(commerce)')]"
Bad camera quality and heating problem,English,negative,"['Bad camera quality', 'heating problem']","[('camera', 'Product')]",[]
"Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good.",English,positive,"['Good phone', 'Good camera', 'normal use', 'Call sound', 'budget', 'battery', 'performance']","[('phone', 'Product'), ('budget', 'Skill'), ('camera', 'Product'), ('battery', 'Skill')]",[]
"Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this",English,mixed,"['Awesome sound quality', 'Moto 5 MP camera', 'poor camera', 'camera phone', 'battery life', 'gaming', 'lags']","[('gaming', 'Skill'), ('camera', 'Product'), ('camera phone', 'Product'), ('Moto 5 MP camera', 'Product')]","[('Very (Pet Shop Boys album)', 'https://en.wikipedia.org/wiki/Very_(Pet_Shop_Boys_album)'), ('House of Commons of the United Kingdom', 'https://en.wikipedia.org/wiki/House_of_Commons_of_the_United_Kingdom')]"
Good phone,English,positive,['Good phone'],"[('phone', 'Product')]",[]
"Great product, fully met my expectations....",English,positive,"['Great product', 'expectations']","[('product', 'Product')]","[('GReAT', 'https://en.wikipedia.org/wiki/GReAT')]"
Good,English,positive,['Good'],[],[]
Do not buy.,English,negative,[],[],[]
No dual 4g if you think new mobile you buy realme 1,English,neutral,"['new mobile', '4g', 'realme']","[('mobile', 'Skill'), ('1', 'Quantity')]",[]
very good phone of this budget......red colour very beautiful,English,positive,"['good phone', 'red colour', 'budget']","[('phone', 'Product')]",[]
Nice product. Delivery guy also.,English,positive,"['Nice product', 'Delivery guy']","[('product', 'Product'), ('Delivery guy', 'PersonType')]","[('Delivery (commerce)', 'https://en.wikipedia.org/wiki/Delivery_(commerce)')]"
Bad camera quality and heating problem,English,negative,"['Bad camera quality', 'heating problem']","[('camera', 'Product')]",[]
"Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good.",English,positive,"['Good phone', 'Good camera', 'normal use', 'Call sound', 'budget', 'battery', 'performance']","[('phone', 'Product'), ('budget', 'Skill'), ('camera', 'Product'), ('battery', 'Skill')]",[]
"Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this",English,mixed,"['Awesome sound quality', 'Moto 5 MP camera', 'poor camera', 'camera phone', 'battery life', 'gaming', 'lags']","[('gaming', 'Skill'), ('camera', 'Product'), ('camera phone', 'Product'), ('Moto 5 MP camera', 'Product')]","[('Very (Pet Shop Boys album)', 'https://en.wikipedia.org/wiki/Very_(Pet_Shop_Boys_album)'), ('House of Commons of the United Kingdom', 'https://en.wikipedia.org/wiki/House_of_Commons_of_the_United_Kingdom')]"
"Nice mobile, battery backup is good, camera gud, one limitation is front camera- 5 no, slim & light weight mobile",English,positive,"['Nice mobile', 'battery backup', 'camera gud', 'one limitation', 'front camera', 'light weight', 'good', 'slim']","[('mobile', 'Product'), ('battery backup', 'Skill'), ('camera', 'Product'), ('one', 'Quantity'), ('front camera', 'Product'), ('5', 'Quantity')]","[('Nice', 'https://en.wikipedia.org/wiki/Nice')]"
Like everything besides display.,English,neutral,"['everything', 'display']","[('display', 'Skill')]",[]
"A Bit Pricey compared to the competitors.
Nice and Sleek body feels Good on Hand.
Overall Performance Is good Enough less heat compered to mi redmi devices.",English,mixed,"['mi redmi devices', 'Bit Pricey', 'Sleek body', 'Overall Performance', 'less heat', 'competitors', 'Nice', 'Hand']","[('competitors', 'PersonType'), ('redmi devices', 'Product')]","[('National Institute for Health and Care Excellence', 'https://en.wikipedia.org/wiki/National_Institute_for_Health_and_Care_Excellence'), ('Feels Good', 'https://en.wikipedia.org/wiki/Feels_Good'), ('Hand', 'https://en.wikipedia.org/wiki/Hand'), ('Performance (film)', 'https://en.wikipedia.org/wiki/Performance_(film)'), ('Iš (cuneiform)', 'https://en.wikipedia.org/wiki/Iš_(cuneiform)')]"
Please dont't bye camera is good but battery back up not good,English,negative,"['camera', 'battery']","[('camera', 'Product'), ('battery', 'Product')]",[]
